City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Mantenopolis,BR,75.69,light rain,-18.8625,-41.1228,Deed's Hotel
12,Puerto Baquerizo Moreno,EC,77.99,broken clouds,-0.9,-89.6,Hotel los Algarrobos
26,Hambantota,LK,75.76,few clouds,6.1241,81.1185,Bungalow 63
30,Rikitea,PF,76.86,overcast clouds,-23.1203,-134.9692,People ThankYou
31,Broken Hill,AU,78.51,light rain,-31.95,141.4333,Royal Exchange Hotel
35,Atambua,ID,75.96,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
40,Atuona,PF,78.19,light rain,-9.8,-139.0333,Villa Enata
41,Ugoofaaru,MV,81.97,scattered clouds,5.6667,73.0,Ungoofaaru Inn
42,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Butaritari,KI,82.11,few clouds,3.0707,172.7902,Isles Sunset Lodge
45,Mahebourg,MU,79.09,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Ixtapa,MX,77.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
51,Vaini,TO,80.55,light rain,-21.2,-175.2,Keleti Beach Resort
55,Villarrica,PY,84.85,few clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
56,Totness,SR,77.16,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
57,Barra,BR,78.49,broken clouds,-11.0894,-43.1417,Motel Albatroz
62,Kapaa,US,81.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Banda Aceh,ID,76.37,broken clouds,5.5577,95.3222,Sulthan Hotel International
80,Meulaboh,ID,76.21,broken clouds,4.1363,96.1285,Kost Pria
81,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
88,Tabou,CI,79.45,few clouds,4.423,-7.3528,hotêl doufoulougou
92,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Poutur Pousada
93,Hithadhoo,MV,81.55,broken clouds,-0.6,73.0833,Scoop Guest House
94,Vao,NC,79.11,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
96,Benguela,AO,76.68,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
97,Sainte-Rose,GP,78.84,broken clouds,16.3324,-61.6979,Villa - Duzer
103,Nabire,ID,75.87,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
113,Flinders,AU,82.06,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
117,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
