City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yumen,CN,40.2833,97.2,13.86,44,100,6.62,overcast clouds
1,Talnakh,RU,69.4865,88.3972,-15.34,95,86,8.84,overcast clouds
2,Portland,US,45.5234,-122.6762,53.22,74,100,5.01,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,46.06,66,75,29.93,broken clouds
4,Mantua,IT,45.1667,10.7833,43.48,93,0,5.64,clear sky
5,Bredasdorp,ZA,-34.5322,20.0403,69.12,88,87,9.22,overcast clouds
6,Khatanga,RU,71.9667,102.5,-5.49,98,99,9.46,overcast clouds
7,Fairbanks,US,64.8378,-147.7164,-7.69,74,0,0.0,clear sky
8,Busselton,AU,-33.65,115.3333,64.09,61,92,17.98,overcast clouds
9,East London,ZA,-33.0153,27.9116,74.66,83,86,14.65,overcast clouds
10,Mantenopolis,BR,-18.8625,-41.1228,75.69,75,96,2.06,light rain
11,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,100,24.16,light snow
12,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.99,78,75,16.11,broken clouds
13,Provideniya,RU,64.3833,-173.3,10.51,72,0,15.66,clear sky
14,Albany,US,42.6001,-73.9662,18.01,45,15,4.21,few clouds
15,Avarua,CK,-21.2078,-159.775,71.65,94,75,6.91,heavy intensity rain
16,Galeana,MX,24.8333,-100.0667,70.32,39,17,1.3,few clouds
17,Tocopilla,CL,-22.092,-70.1979,67.69,71,1,5.73,clear sky
18,Balkanabat,TM,39.5108,54.3671,44.76,52,94,6.31,overcast clouds
19,Rabo De Peixe,PT,37.8,-25.5833,58.51,95,40,20.71,scattered clouds
20,Ust-Nera,RU,64.5667,143.2,-9.18,99,100,1.79,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,51.91,50,75,23.02,broken clouds
22,Qaanaaq,GL,77.484,-69.3632,-8.57,69,100,6.22,overcast clouds
23,Andenes,NO,69.3143,16.1194,26.58,93,75,11.5,snow
24,Bethel,US,41.3712,-73.414,23.36,54,22,2.82,few clouds
25,Port Lincoln,AU,-34.7333,135.8667,68.61,77,46,8.93,scattered clouds
26,Hambantota,LK,6.1241,81.1185,75.76,89,19,11.61,few clouds
27,New Norfolk,AU,-42.7826,147.0587,71.74,53,3,2.62,clear sky
28,Bluff,NZ,-46.6,168.3333,72.81,84,91,4.54,overcast clouds
29,Viransehir,TR,37.2353,39.7631,38.53,83,99,5.41,overcast clouds
30,Rikitea,PF,-23.1203,-134.9692,76.86,70,100,5.06,overcast clouds
31,Broken Hill,AU,-31.95,141.4333,78.51,69,75,5.75,light rain
32,Maarianhamina,AX,60.0973,19.9348,28.26,74,20,11.5,few clouds
33,San Patricio,US,28.017,-97.5169,69.89,61,56,12.3,broken clouds
34,Lasa,IT,46.6166,10.7002,44.06,42,11,6.26,few clouds
35,Atambua,ID,-9.1061,124.8925,75.96,85,89,9.06,overcast clouds
36,Cape Town,ZA,-33.9258,18.4232,73.81,77,0,3.0,clear sky
37,Castro,BR,-24.7911,-50.0119,63.25,98,98,9.19,overcast clouds
38,Thompson,CA,55.7435,-97.8558,6.96,72,20,4.61,few clouds
39,Jamestown,US,42.097,-79.2353,19.09,44,100,0.0,overcast clouds
40,Atuona,PF,-9.8,-139.0333,78.19,77,12,14.38,light rain
41,Ugoofaaru,MV,5.6667,73.0,81.97,75,45,13.0,scattered clouds
42,Puerto Ayora,EC,-0.7393,-90.3518,82.36,75,100,8.46,overcast clouds
43,Yellowknife,CA,62.456,-114.3525,-6.59,83,75,8.05,light snow
44,Butaritari,KI,3.0707,172.7902,82.11,76,22,20.94,few clouds
45,Mahebourg,MU,-20.4081,57.7,79.09,94,75,11.5,light intensity shower rain
46,Ixtapa,MX,20.7,-105.2,77.23,81,5,5.99,clear sky
47,Bahar,IR,34.9072,48.4414,24.96,68,20,6.91,few clouds
48,Warrington,GB,53.3925,-2.5802,47.08,77,75,10.0,broken clouds
49,Kamenka,RU,51.3223,42.7678,27.75,96,100,14.94,light snow
50,Torbay,CA,47.6666,-52.7314,38.39,82,75,25.32,broken clouds
51,Vaini,TO,-21.2,-175.2,80.55,75,100,12.12,light rain
52,Manoharpur,IN,27.3,75.95,52.75,32,0,3.22,clear sky
53,Shiringushi,RU,53.8485,42.7676,23.83,94,100,12.46,snow
54,Talcahuano,CL,-36.7167,-73.1167,67.68,52,0,21.85,clear sky
55,Villarrica,PY,-25.75,-56.4333,84.85,37,21,5.57,few clouds
56,Totness,SR,5.8833,-56.3167,77.16,84,72,11.74,broken clouds
57,Barra,BR,-11.0894,-43.1417,78.49,69,67,5.08,broken clouds
58,Kodiak,US,57.79,-152.4072,26.11,68,0,13.8,clear sky
59,Bilibino,RU,68.0546,166.4372,-12.73,96,79,4.99,broken clouds
60,Mar Del Plata,AR,-38.0023,-57.5575,66.87,81,75,15.01,broken clouds
61,Chokurdakh,RU,70.6333,147.9167,-29.85,94,16,2.64,few clouds
62,Kapaa,US,22.0752,-159.319,81.12,76,0,1.99,clear sky
63,Madanapalle,IN,13.55,78.5,65.07,96,8,3.6,clear sky
64,Bekhtery,UA,46.251,32.2927,38.37,81,53,14.97,broken clouds
65,Faya,SA,18.3851,42.4509,55.51,81,12,4.38,few clouds
66,Weligama,LK,5.9667,80.4167,74.75,93,31,4.18,scattered clouds
67,Adrar,MR,20.5022,-10.0711,74.39,13,100,10.63,overcast clouds
68,Gelemso,ET,8.8167,40.5167,58.01,35,21,2.35,few clouds
69,Tiksi,RU,71.6872,128.8694,-18.49,100,96,3.87,overcast clouds
70,Pacifica,US,37.6138,-122.4869,66.74,72,20,1.01,few clouds
71,Chardara,KZ,41.2547,67.9692,32.95,57,5,10.42,clear sky
72,Porto Torres,IT,40.835,8.3972,53.78,83,59,14.18,broken clouds
73,Ancud,CL,-41.8697,-73.8203,62.13,59,35,10.94,scattered clouds
74,Zabid,YE,14.1951,43.3152,74.16,69,43,4.79,scattered clouds
75,Kaitangata,NZ,-46.2817,169.8464,68.94,75,17,3.38,few clouds
